时间,     温度,          热重
0.0,    26.44289,    0.01336      
0.0,    26.45415,    0.01950      
0.0,    26.45920,    0.01817      
0.1,    26.46686,    0.01753      
0.1,    26.46603,    0.02043      
0.1,    26.46632,    0.02556      
0.1,    26.45427,    0.02910      
0.1,    26.44349,    0.03245      
0.1,    26.44219,    0.03545      
0.2,    26.43538,    0.03767      
0.2,    26.44155,    0.03964      
0.2,    26.44448,    0.04105      
0.2,    26.44697,    0.04245      
0.2,    26.45363,    0.04343      
0.2,    26.45935,    0.04434      
0.3,    26.45407,    0.04523      
0.3,    26.45476,    0.04610      
0.3,    26.46629,    0.04660      
0.3,    26.45980,    0.04727      
0.3,    26.45236,    0.04795      
0.3,    26.44712,    0.04871      
0.4,    26.45028,    0.04927      
0.4,    26.45580,    0.04983      
0.4,    26.45713,    0.05028      
0.4,    26.45930,    0.05082      
0.4,    26.46377,    0.05138      
0.4,    26.46807,    0.05184      
0.5,    26.47300,    0.05207      
0.5,    26.47128,    0.05264      
0.5,    26.47449,    0.05298      
0.5,    26.47994,    0.05342      
0.5,    26.48606,    0.05347      
0.5,    26.48655,    0.05360      
0.6,    26.49567,    0.05374      
0.6,    26.49689,    0.05388      
0.6,    26.49837,    0.05420      
0.6,    26.50588,    0.05415      
0.6,    26.50562,    0.05432      
0.6,    26.50963,    0.05475      
0.7,    26.52002,    0.05483      
0.7,    26.51860,    0.05507      
0.7,    26.51746,    0.05530      
0.7,    26.52486,    0.05532      
0.7,    26.52737,    0.05539      
0.7,    26.53257,    0.05548      
0.8,    26.54224,    0.05552      
0.8,    26.53860,    0.05564      
0.8,    26.54166,    0.05567      
0.8,    26.54604,    0.05573      
0.8,    26.56966,    0.05572      
0.8,    26.56658,    0.05585      
0.9,    26.56987,    0.05595      
0.9,    26.57398,    0.05599      
0.9,    26.58561,    0.05603      
0.9,    26.58272,    0.05614      
0.9,    26.58958,    0.05608      
0.9,    26.59361,    0.05615      
1.0,    26.59367,    0.05638      
1.0,    26.59589,    0.05656      
1.0,    26.60321,    0.05658      
1.0,    26.61923,    0.05664      
1.0,    26.64243,    0.05664      
1.0,    26.65695,    0.05663      
1.1,    26.66360,    0.05679      
1.1,    26.67068,    0.05689      
1.1,    26.69101,    0.05691      
1.1,    26.70153,    0.05696      
1.1,    26.73005,    0.05689      
1.1,    26.72543,    0.05718      
1.2,    26.74275,    0.05718      
1.2,    26.74050,    0.05734      
1.2,    26.73491,    0.05755      
1.2,    26.73979,    0.05758      
1.2,    26.75135,    0.05762      
1.2,    26.77489,    0.05765      
1.3,    26.80465,    0.05760      
1.3,    26.84002,    0.05753      
1.3,    26.85862,    0.05750      
1.3,    26.89613,    0.05738      
1.3,    26.91244,    0.05745      
1.3,    26.91498,    0.05760      
1.4,    26.91979,    0.05762      
1.4,    26.92987,    0.05780      
1.4,    26.94363,    0.05786      
1.4,    26.95523,    0.05793      
1.4,    26.98063,    0.05796      
1.4,    26.99670,    0.05801      
1.5,    27.01362,    0.05803      
1.5,    27.03518,    0.05799      
1.5,    27.07726,    0.05789      
1.5,    27.08480,    0.05795      
1.5,    27.10722,    0.05798      
1.5,    27.12660,    0.05811      
1.6,    27.13033,    0.05824      
1.6,    27.16141,    0.05823      
1.6,    27.18722,    0.05829      
1.6,    27.22869,    0.05823      
1.6,    27.23986,    0.05850      
1.6,    27.26289,    0.05856      
1.7,    27.28940,    0.05860      
1.7,    27.32859,    0.05848      
1.7,    27.34911,    0.05838      
1.7,    27.36515,    0.05847      
1.7,    27.36954,    0.05861      
1.7,    27.40767,    0.05853      
1.8,    27.46347,    0.05847      
1.8,    27.48538,    0.05857      
1.8,    27.50246,    0.05864      
1.8,    27.55472,    0.05854      
1.8,    27.55216,    0.05872      
1.8,    27.56863,    0.05887      
1.9,    27.59309,    0.05887      
1.9,    27.61189,    0.05892      
1.9,    27.65393,    0.05892      
1.9,    27.68343,    0.05892      
1.9,    27.72624,    0.05884      
1.9,    27.75712,    0.05886      
2.0,    27.77780,    0.05898      
2.0,    27.81909,    0.05891      
2.0,    27.85837,    0.05881      
2.0,    27.90365,    0.05869      
2.0,    27.93501,    0.05866      
2.0,    27.96783,    0.05868      
2.1,    27.97519,    0.05885      
2.1,    28.01159,    0.05873      
2.1,    28.03985,    0.05879      
2.1,    28.06825,    0.05884      
2.1,    28.10096,    0.05889      
2.1,    28.14935,    0.05878      
2.2,    28.17573,    0.05880      
2.2,    28.19841,    0.05887      
2.2,    28.25233,    0.05874      
2.2,    28.28873,    0.05871      
2.2,    28.31819,    0.05863      
2.2,    28.35370,    0.05863      
2.3,    28.42921,    0.05834      
2.3,    28.45724,    0.05835      
2.3,    28.46291,    0.05851      
2.3,    28.47088,    0.05865      
2.3,    28.51344,    0.05861      
2.3,    28.57522,    0.05832      
2.4,    28.61396,    0.05816      
2.4,    28.66404,    0.05800      
