时间,     温度,          热重
0.0,    26.70334,    -0.03557     
0.0,    26.69812,    -0.03551     
0.0,    26.69812,    -0.03551     
0.1,    26.69728,    -0.03547     
0.1,    26.69713,    -0.03534     
0.1,    26.69868,    -0.03487     
0.1,    26.70060,    -0.03451     
0.1,    26.70209,    -0.03440     
0.1,    26.70247,    -0.03486     
0.2,    26.70330,    -0.03562     
0.2,    26.70301,    -0.03585     
0.2,    26.70473,    -0.03540     
0.2,    26.70521,    -0.03377     
0.2,    26.70386,    -0.03251     
0.2,    26.70045,    -0.03092     
0.3,    26.69871,    -0.02907     
0.3,    26.69850,    -0.02752     
0.3,    26.69941,    -0.02454     
0.3,    26.69979,    -0.01964     
0.3,    26.69988,    -0.01789     
0.3,    26.69977,    -0.01466     
0.4,    26.69970,    -0.01145     
0.4,    26.69945,    -0.00965     
0.4,    26.69876,    -0.00811     
0.4,    26.69860,    -0.00771     
0.4,    26.69932,    -0.00782     
0.4,    26.70152,    -0.00822     
0.5,    26.70569,    -0.00897     
0.5,    26.71055,    -0.00965     
0.5,    26.71299,    -0.01032     
0.5,    26.71397,    -0.01072     
0.5,    26.71405,    -0.01075     
0.5,    26.71503,    -0.01057     
0.6,    26.71909,    -0.01019     
0.6,    26.72416,    -0.00980     
0.6,    26.72816,    -0.00943     
0.6,    26.73221,    -0.00901     
0.6,    26.73777,    -0.00846     
0.6,    26.74399,    -0.00805     
0.7,    26.75447,    -0.00748     
0.7,    26.75960,    -0.00706     
0.7,    26.76481,    -0.00654     
0.7,    26.77341,    -0.00602     
0.7,    26.77644,    -0.00585     
0.7,    26.78255,    -0.00554     
0.8,    26.79044,    -0.00520     
0.8,    26.80207,    -0.00489     
0.8,    26.81262,    -0.00476     
0.8,    26.82258,    -0.00466     
0.8,    26.83072,    -0.00446     
0.8,    26.84105,    -0.00399     
0.9,    26.85363,    -0.00360     
0.9,    26.86346,    -0.00354     
0.9,    26.87712,    -0.00357     
0.9,    26.89098,    -0.00332     
0.9,    26.89796,    -0.00285     
0.9,    26.91020,    -0.00217     
1.0,    26.91237,    -0.00206     
1.0,    26.92621,    -0.00136     
1.0,    26.93710,    -0.00092     
1.0,    26.95468,    -0.00026     
1.0,    26.96330,    0.00006      
1.0,    26.97483,    0.00050      
1.1,    26.99424,    0.00113      
1.1,    27.01340,    0.00114      
1.1,    27.03150,    0.00016      
