时间,     温度,          热重
0.0,    29.87536,    -0.00078     
0.0,    29.87745,    -0.00473     
0.0,    29.87648,    -0.00441     
0.1,    29.87239,    -0.00394     
0.1,    29.86872,    -0.00454     
0.1,    29.85070,    -0.00687     
0.1,    29.85044,    -0.00888     
0.1,    29.85528,    -0.01086     
0.1,    29.85789,    -0.01225     
0.2,    29.85357,    -0.01362     
0.2,    29.85325,    -0.01475     
0.2,    29.86297,    -0.01560     
0.2,    29.86338,    -0.01623     
0.2,    29.86571,    -0.01698     
0.2,    29.86778,    -0.01765     
0.3,    29.87752,    -0.01823     
0.3,    29.88096,    -0.01884     
0.3,    29.86559,    -0.01937     
0.3,    29.86491,    -0.01981     
0.3,    29.86758,    -0.02024     
0.3,    29.86958,    -0.02054     
0.4,    29.86362,    -0.02079     
0.4,    29.86893,    -0.02109     
0.4,    29.87228,    -0.02138     
0.4,    29.87337,    -0.02162     
0.4,    29.87313,    -0.02181     
0.4,    29.87589,    -0.02209     
0.5,    29.87704,    -0.02230     
0.5,    29.87710,    -0.02252     
0.5,    29.88670,    -0.02278     
0.5,    29.88872,    -0.02287     
0.5,    29.88629,    -0.02297     
0.5,    29.87712,    -0.02310     
0.6,    29.87565,    -0.02318     
0.6,    29.87653,    -0.02334     
0.6,    29.87608,    -0.02342     
0.6,    29.87645,    -0.02353     
0.6,    29.87516,    -0.02355     
0.6,    29.87380,    -0.02354     
0.7,    29.87629,    -0.02341     
0.7,    29.87849,    -0.02325     
0.7,    29.88614,    -0.02310     
0.7,    29.89852,    -0.02302     
0.7,    29.92086,    -0.02302     
0.7,    29.92400,    -0.02297     
0.8,    29.92517,    -0.02291     
0.8,    29.93146,    -0.02290     
0.8,    29.93485,    -0.02279     
0.8,    29.93740,    -0.02279     
0.8,    29.94095,    -0.02274     
0.8,    29.94450,    -0.02265     
0.9,    29.94758,    -0.02256     
0.9,    29.95098,    -0.02255     
0.9,    29.95401,    -0.02248     
0.9,    29.95364,    -0.02241     
0.9,    29.95795,    -0.02231     
0.9,    29.96405,    -0.02223     
1.0,    29.97741,    -0.02224     
1.0,    29.99643,    -0.02228     
1.0,    30.01453,    -0.02241     
1.0,    30.02520,    -0.02246     
1.0,    30.03069,    -0.02249     
1.0,    30.04954,    -0.02263     
1.1,    30.06727,    -0.02277     
1.1,    30.08251,    -0.02288     
1.1,    30.09094,    -0.02298     
1.1,    30.09588,    -0.02305     
1.1,    30.08887,    -0.02310     
1.1,    30.12680,    -0.02331     
1.2,    30.14337,    -0.02342     
1.2,    30.16875,    -0.02356     
1.2,    30.17487,    -0.02361     
1.2,    30.17855,    -0.02366     
